Custom brain region	root	Frontal pole, cerebral cortex	Primary motor area	Secondary motor area	Primary somatosensory area, nose	Primary somatosensory area, barrel field	Primary somatosensory area, lower limb	Primary somatosensory area, mouth	Primary somatosensory area, upper limb	Primary somatosensory area, trunk	Primary somatosensory area, unassigned	Supplemental somatosensory area	Gustatory areas	Visceral area	Dorsal auditory area	Primary auditory area	Posterior auditory area	Ventral auditory area	Anterolateral visual area	Anteromedial visual area	Lateral visual area	Primary visual area	Posterolateral visual area	posteromedial visual area	Laterointermediate area	Postrhinal area	Anterior cingulate area, dorsal part	Anterior cingulate area, ventral part	Prelimbic area	Infralimbic area	Orbital area, lateral part	Orbital area, medial part	Orbital area, ventrolateral part	Agranular insular area, dorsal part	Agranular insular area, posterior part	Agranular insular area, ventral part	Retrosplenial area, lateral agranular part	Retrosplenial area, dorsal part	Retrosplenial area, ventral part	Anterior area	Rostrolateral visual area	Temporal association areas	Perirhinal area	Ectorhinal area	Olfactory areas	Main olfactory bulb	Accessory olfactory bulb	Anterior olfactory nucleus	Taenia tecta	Dorsal peduncular area	Piriform area	Nucleus of the lateral olfactory tract	Cortical amygdalar area	Piriform-amygdalar area	Postpiriform transition area	Hippocampal formation	Ammon's horn	Dentate gyrus	Fasciola cinerea	Induseum griseum	Entorhinal area	Parasubiculum	Postsubiculum	Presubiculum	Subiculum	Prosubiculum	Hippocampo-amygdalar transition area	Area prostriata	Cortical subplate	Claustrum	Endopiriform nucleus	Lateral amygdalar nucleus	Basolateral amygdalar nucleus	Basomedial amygdalar nucleus	Posterior amygdalar nucleus	Striatum	Caudoputamen	Nucleus accumbens	Fundus of striatum	Olfactory tubercle	Lateral septal nucleus	Septofimbrial nucleus	Septohippocampal nucleus	Anterior amygdalar area	Bed nucleus of the accessory olfactory tract	Central amygdalar nucleus	Intercalated amygdalar nucleus	Medial amygdalar nucleus	Pallidum	Globus pallidus, external segment	Globus pallidus, internal segment	Substantia innominata	Magnocellular nucleus	Medial septal complex	Triangular nucleus of septum	Bed nuclei of the stria terminalis	Bed nucleus of the anterior commissure	Thalamus	Ventral anterior-lateral complex of the thalamus	Ventral medial nucleus of the thalamus	Ventral posterior complex of the thalamus	Posterior triangular thalamic nucleus	Subparafascicular nucleus	Subparafascicular area	Peripeduncular nucleus	Medial geniculate complex	Dorsal part of the lateral geniculate complex	Lateral posterior nucleus of the thalamus	Posterior complex of the thalamus	Posterior limiting nucleus of the thalamus	Suprageniculate nucleus	Ethmoid nucleus of the thalamus	Anteroventral nucleus of thalamus	Anteromedial nucleus	Anterodorsal nucleus	Interanteromedial nucleus of the thalamus	Interanterodorsal nucleus of the thalamus	Lateral dorsal nucleus of thalamus	Intermediodorsal nucleus of the thalamus	Mediodorsal nucleus of thalamus	Submedial nucleus of the thalamus	Perireunensis nucleus	Paraventricular nucleus of the thalamus	Parataenial nucleus	Nucleus of reuniens	Xiphoid thalamic nucleus	Rhomboid nucleus	Central medial nucleus of the thalamus	Paracentral nucleus	Central lateral nucleus of the thalamus	Parafascicular nucleus	Posterior intralaminar thalamic nucleus	Reticular nucleus of the thalamus	Intergeniculate leaflet of the lateral geniculate complex	Intermediate geniculate nucleus	Ventral part of the lateral geniculate complex	Subgeniculate nucleus	Epithalamus	Hypothalamus	Supraoptic nucleus	Accessory supraoptic group	Paraventricular hypothalamic nucleus	Periventricular hypothalamic nucleus, anterior part	Periventricular hypothalamic nucleus, intermediate part	Arcuate hypothalamic nucleus	Anterodorsal preoptic nucleus	Anteroventral preoptic nucleus	Anteroventral periventricular nucleus	Dorsomedial nucleus of the hypothalamus	Median preoptic nucleus	Medial preoptic area	Vascular organ of the lamina terminalis	Posterodorsal preoptic nucleus	Parastrial nucleus	Periventricular hypothalamic nucleus, posterior part	Periventricular hypothalamic nucleus, preoptic part	Subparaventricular zone	Suprachiasmatic nucleus	Subfornical organ	Ventromedial preoptic nucleus	Ventrolateral preoptic nucleus	Anterior hypothalamic nucleus	Lateral mammillary nucleus	Medial mammillary nucleus	Supramammillary nucleus	Tuberomammillary nucleus	Medial preoptic nucleus	Dorsal premammillary nucleus	Ventral premammillary nucleus	Paraventricular hypothalamic nucleus, descending division	Ventromedial hypothalamic nucleus	Posterior hypothalamic nucleus	Lateral hypothalamic area	Lateral preoptic area	Preparasubthalamic nucleus	Parasubthalamic nucleus	Perifornical nucleus	Retrochiasmatic area	Subthalamic nucleus	Tuberal nucleus	Zona incerta	Median eminence	Midbrain	Superior colliculus, sensory related	Inferior colliculus	Nucleus of the brachium of the inferior colliculus	Nucleus sagulum	Parabigeminal nucleus	Midbrain trigeminal nucleus	Subcommissural organ	Substantia nigra, reticular part	Ventral tegmental area	Paranigral nucleus	Midbrain reticular nucleus, retrorubral area	Midbrain reticular nucleus	Superior colliculus, motor related	Periaqueductal gray	Pretectal region	Cuneiform nucleus	Red nucleus	Oculomotor nucleus	Medial accesory oculomotor nucleus	Edinger-Westphal nucleus	Trochlear nucleus	Paratrochlear nucleus	Ventral tegmental nucleus	Anterior tegmental nucleus	Lateral terminal nucleus of the accessory optic tract	Dorsal terminal nucleus of the accessory optic tract	Medial terminal nucleus of the accessory optic tract	Substantia nigra, compact part	Pedunculopontine nucleus	Interfascicular nucleus raphe	Interpeduncular nucleus	Rostral linear nucleus raphe	Central linear nucleus raphe	Dorsal nucleus raphe	Pons	Nucleus of the lateral lemniscus	Principal sensory nucleus of the trigeminal	Parabrachial nucleus	Superior olivary complex	Barrington's nucleus	Dorsal tegmental nucleus	Posterodorsal tegmental nucleus	Pontine central gray	Pontine gray	Pontine reticular nucleus, caudal part	Supragenual nucleus	Supratrigeminal nucleus	Tegmental reticular nucleus	Motor nucleus of trigeminal	Peritrigeminal zone	Accessory trigeminal nucleus	Parvicellular motor 5 nucleus	Intertrigeminal nucleus	Superior central nucleus raphe	Locus ceruleus	Laterodorsal tegmental nucleus	Nucleus incertus	Pontine reticular nucleus	Nucleus raphe pontis	Subceruleus nucleus	Sublaterodorsal nucleus	Medulla	Area postrema	Cochlear nuclei	Dorsal column nuclei	External cuneate nucleus	Nucleus of the trapezoid body	Nucleus of the solitary tract	Spinal nucleus of the trigeminal, caudal part	Spinal nucleus of the trigeminal, interpolar part	Spinal nucleus of the trigeminal, oral part	Paratrigeminal nucleus	Abducens nucleus	Facial motor nucleus	Accessory facial motor nucleus	Nucleus ambiguus	Dorsal motor nucleus of the vagus nerve	Gigantocellular reticular nucleus	Infracerebellar nucleus	Inferior olivary complex	Intermediate reticular nucleus	Inferior salivatory nucleus	Linear nucleus of the medulla	Lateral reticular nucleus	Magnocellular reticular nucleus	Medullary reticular nucleus	Parvicellular reticular nucleus	Parasolitary nucleus	Paragigantocellular reticular nucleus	Perihypoglossal nuclei	Parapyramidal nucleus	Vestibular nuclei	Nucleus x	Hypoglossal nucleus	Nucleus y	Nucleus raphe magnus	Nucleus raphe pallidus	Nucleus raphe obscurus	Cerebellum	Lingula (I)	Central lobule	Culmen	Declive (VI)	Folium-tuber vermis (VII)	Pyramus (VIII)	Uvula (IX)	Nodulus (X)	Simple lobule	Ansiform lobule	Paramedian lobule	Copula pyramidis	Paraflocculus	Flocculus	Fastigial nucleus	Interposed nucleus	Dentate nucleus	Vestibulocerebellar nucleus	fiber tracts	ventricular systems
RGB colour	0;0;0	217;112;186	224;98;165	224;98;165	231;127;155	231;127;155	231;127;155	231;127;155	231;127;155	231;127;155	231;127;155	231;127;155	255;99;138	238;82;124	254;108;102	254;108;102	254;108;102	254;108;102	247;122;115	247;122;115	247;122;115	247;122;115	247;122;115	247;122;115	247;122;115	247;122;115	191;89;153	191;89;153	208;87;175	166;76;156	219;117;161	219;117;161	219;117;161	222;103;153	222;103;153	222;103;153	229;89;103	229;89;103	229;89;103	255;96;83	255;96;83	234;79;76	241;105;123	242;96;110	101;45;66	101;45;66	98;15;45	171;64;107	157;47;96	91;37;91	149;52;69	106;27;55	158;24;72	166;37;84	87;19;44	129;47;180	129;47;180	129;47;180	129;47;180	129;47;180	205;71;218	141;42;150	183;55;195	166;70;184	176;61;187	167;69;183	204;70;205	204;70;205	117;37;120	117;37;120	95;17;98	111;20;114	98;24;99	123;21;126	104;19;108	103;41;6	103;41;6	127;50;7	127;50;7	127;50;7	111;52;18	111;52;18	111;52;18	127;63;29	127;63;29	127;63;29	127;63;29	127;63;29	122;102;51	122;102;51	122;102;51	93;78;39	93;78;39	105;88;44	105;88;44	76;63;32	76;63;32	0;143;127	0;127;123	0;127;123	0;127;123	0;127;123	0;127;123	0;127;123	0;127;123	0;127;123	0;127;123	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	25;187;199	0;162;175	0;162;175	0;162;175	0;162;175	0;162;175	0;162;175	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	0;155;0	0;133;0	0;133;0	0;133;0	0;133;0	0;133;0	0;133;0	0;133;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;89;0	0;89;0	0;89;0	0;89;0	0;89;0	0;89;0	0;89;0	0;100;119	0;81;144	0;81;144	0;81;144	0;81;144	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;100;50	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;57;29	0;57;29	0;57;29	15;15;127	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;3;110	0;2;67	0;2;67	0;2;67	0;2;67	51;51;51	85;85;85
Atlas Ids	997	184	985	993	353	329	337	345	369	361	182305689	378	1057	677	1011	1002	1027	1018	402	394	409	385	425	533	312782574	312782628	39	48	972	44	723	731	746	104	111	119	894	879	886	312782546	417	541	922	895	698	507	151	159	589	814	961	619	631	788	566	1089	375	726	982	19	909	843	1037	1084	502	484682470	589508447	484682508	703	583	942	131	295	319	780	477	672	56	998	754	242	310	333	23	292	536	1105	403	803	1022	1031	342	298	904	581	351	287	549	629	685	709	563807435	406	609	1044	475	170	218	1020	1029	325	560581551	255	127	64	1120	1113	155	59	362	366	1077	149	15	181	560581559	189	599	907	575	930	560581563	262	27	563807439	178	321	958	1097	390	332	38	30	118	223	72	263	272	830	452	523	763	914	1109	126	133	347	286	338	576073699	689	88	210	491	525	557	515	980	1004	63	693	946	194	226	356	364	576073704	173	470	614	797	10671	313	302	4	580	271	874	460	599626923	381	749	607344830	246	128	294	795	1100	616	214	35	549009211	975	115	606826663	757	231	66	75	58	374	1052	12	100	197	591	872	771	612	7	867	398	280	880	599626927	898	931	1093	318	534	574	621	549009215	549009219	549009223	549009227	679	147	162	604	146	238	350	358	354	207	607	720	903	642	651	429	437	445	589508451	653	661	576	135	839	1048	372	83	136	106	203	235	307	395	852	859	938	154	1069	701	765	773	781	206	230	222	512	912	920	928	936	944	951	957	968	1007	1017	1025	1033	1041	1049	989	91	846	589508455	1009	73
		68	320	656	558	981	1030	878	450	1006	182305693	873	36	897	527	735	696	959	1074	281	421	593	750	805	312782578	312782632	935	588	171	707	448	484	969	996	120	704	671	442	542	312782550	312782604	97	540	836			188		597			260	639				382	10703			918										952		303	327							250					544								564							718		414			1072	496345664							1096																								483																										732		1126															804			851	811											26	50	215																607344834							123	122																									96	711											939								955		1098			970	177		209									976	1091							1056									967	81
		667	943	962	838	201	113	657	854	670	182305697	806	180	1106	600	251	643	755	905	1066	973	821	269	41	312782582	312782636	211	296	304	556	412	582	288	328	163	694	965	434	430	312782554	312782608	1127	888	427			196		605			268	647				423	10704			1121										966		311	334							258					551								596							725		422			1079	496345668							1104																								186																										606826647		1																		842	820											42	67	531																607344838								105																									101	1039											143								963		1107			978	169		202									984								1064									949	98
		526157192	648	767	654	1047	1094	950	577	1086	182305701	1035	148	1010	678	816	759	990	1114	401	573	721	869	501	312782586	312782640	1015	772	363	827	630	620	1125	1101	344	800	774	610	687	312782558	312782612	234	692	988			204					1139	655				463	632			20												451								266					559															733					1088	496345672																																																									606826651																				834	828											17	587	628																607344842								114																																																					225																										840	108
		526157196	844	1021	702	1070	1128	974	625	1111	182305705	1090	187	1058	252	847	791	1023	233	433	613	778	902	565	312782590	312782644	919	810	84	1054	440	910	608	783	314	675	906	274	590	312782562	312782616	289	335	977									663								52																																								741																																																															606826655																																10	614454277	634																607344846																																																													217																										1016	129
		526322264	882	1085	889	1038	478	1102	945	9	182305709	862	638	857	156	954	249	520	601	1046	74	33	377	257	312782594	312782648	927	819	132	1081	488	527696977	680	831	355	699	279	330	622	312782566	312782620	729	368	1045																	139																																																																																																							606826659																																		706																607344850																																																																																							21	140
					929	1062	510	2	1026	461	182305713	893	662	849	243	1005	456	598	649	441	121	305	393	469	312782598	312782652														312782570	312782624	786																			28																																																																																																																																									1061																607344854																																																																																							665	145
																																																													926																																																																																																																																									549009203																607344858																																																																																							538	153
																																																													526																																																																																																																																																									607344862																																																																																							900	164
																																																													543																																																																																																																																																																																																																																																848	
																																																													664																																																																																																																																																																																																																																																916	
																																																													727																																																																																																																																																																																																																																																336	
																																																													743																																																																																																																																																																																																																																																117	
																																																																																																																																																																																																																																																																																																													125	
																																																																																																																																																																																																																																																																																																													832	
