Custom brain region	root	Frontal pole, cerebral cortex	Somatomotor areas	Somatosensory areas	Gustatory areas	Visceral area	Auditory areas	Visual areas	Anterior cingulate area	Prelimbic area	Infralimbic area	Orbital area	Agranular insular area	Retrosplenial area	Posterior parietal association areas	Temporal association areas	Perirhinal area	Ectorhinal area	Olfactory areas	Hippocampal formation	Hippocampal region	Retrohippocampal region	Cortical subplate	Claustrum	Endopiriform nucleus	Lateral amygdalar nucleus	Basolateral amygdalar nucleus	Basomedial amygdalar nucleus	Posterior amygdalar nucleus	Striatum	Striatum dorsal region	Striatum ventral region	Lateral septal complex	Striatum-like amygdalar nuclei	Pallidum	Pallidum, dorsal region	Pallidum, ventral region	Pallidum, medial region	Pallidum, caudal region	Thalamus	Ventral group of the dorsal thalamus	Subparafascicular nucleus	Subparafascicular area	Peripeduncular nucleus	Geniculate group, dorsal thalamus	Lateral group of the dorsal thalamus	Anterior group of the dorsal thalamus	Medial group of the dorsal thalamus	Midline group of the dorsal thalamus	Intralaminar nuclei of the dorsal thalamus	Reticular nucleus of the thalamus	Geniculate group, ventral thalamus	Epithalamus	Hypothalamus	Supraoptic nucleus	Accessory supraoptic group	Paraventricular hypothalamic nucleus	Periventricular hypothalamic nucleus, anterior part	Periventricular hypothalamic nucleus, intermediate part	Arcuate hypothalamic nucleus	Anterodorsal preoptic nucleus	Anteroventral preoptic nucleus	Anteroventral periventricular nucleus	Dorsomedial nucleus of the hypothalamus	Median preoptic nucleus	Medial preoptic area	Vascular organ of the lamina terminalis	Posterodorsal preoptic nucleus	Parastrial nucleus	Periventricular hypothalamic nucleus, posterior part	Periventricular hypothalamic nucleus, preoptic part	Subparaventricular zone	Suprachiasmatic nucleus	Subfornical organ	Ventromedial preoptic nucleus	Ventrolateral preoptic nucleus	Anterior hypothalamic nucleus	Mammillary body	Medial preoptic nucleus	Dorsal premammillary nucleus	Ventral premammillary nucleus	Paraventricular hypothalamic nucleus, descending division	Ventromedial hypothalamic nucleus	Posterior hypothalamic nucleus	Lateral hypothalamic area	Lateral preoptic area	Preparasubthalamic nucleus	Parasubthalamic nucleus	Perifornical nucleus	Retrochiasmatic area	Subthalamic nucleus	Tuberal nucleus	Zona incerta	Median eminence	Midbrain	Superior colliculus, sensory related	Inferior colliculus	Nucleus of the brachium of the inferior colliculus	Nucleus sagulum	Parabigeminal nucleus	Midbrain trigeminal nucleus	Subcommissural organ	Substantia nigra, reticular part	Ventral tegmental area	Paranigral nucleus	Midbrain reticular nucleus, retrorubral area	Midbrain reticular nucleus	Superior colliculus, motor related	Periaqueductal gray	Pretectal region	Cuneiform nucleus	Red nucleus	Oculomotor nucleus	Medial accesory oculomotor nucleus	Edinger-Westphal nucleus	Trochlear nucleus	Paratrochlear nucleus	Ventral tegmental nucleus	Anterior tegmental nucleus	Lateral terminal nucleus of the accessory optic tract	Dorsal terminal nucleus of the accessory optic tract	Medial terminal nucleus of the accessory optic tract	Substantia nigra, compact part	Pedunculopontine nucleus	Midbrain raphe nuclei	Pons	Nucleus of the lateral lemniscus	Principal sensory nucleus of the trigeminal	Parabrachial nucleus	Superior olivary complex	Barrington's nucleus	Dorsal tegmental nucleus	Posterodorsal tegmental nucleus	Pontine central gray	Pontine gray	Pontine reticular nucleus, caudal part	Supragenual nucleus	Supratrigeminal nucleus	Tegmental reticular nucleus	Motor nucleus of trigeminal	Peritrigeminal zone	Accessory trigeminal nucleus	Parvicellular motor 5 nucleus	Intertrigeminal nucleus	Superior central nucleus raphe	Locus ceruleus	Laterodorsal tegmental nucleus	Nucleus incertus	Pontine reticular nucleus	Nucleus raphe pontis	Subceruleus nucleus	Sublaterodorsal nucleus	Medulla	Area postrema	Cochlear nuclei	Dorsal column nuclei	External cuneate nucleus	Nucleus of the trapezoid body	Nucleus of the solitary tract	Spinal nucleus of the trigeminal, caudal part	Spinal nucleus of the trigeminal, interpolar part	Spinal nucleus of the trigeminal, oral part	Paratrigeminal nucleus	Abducens nucleus	Facial motor nucleus	Accessory facial motor nucleus	Nucleus ambiguus	Dorsal motor nucleus of the vagus nerve	Gigantocellular reticular nucleus	Infracerebellar nucleus	Inferior olivary complex	Intermediate reticular nucleus	Inferior salivatory nucleus	Linear nucleus of the medulla	Lateral reticular nucleus	Magnocellular reticular nucleus	Medullary reticular nucleus	Parvicellular reticular nucleus	Parasolitary nucleus	Paragigantocellular reticular nucleus	Perihypoglossal nuclei	Parapyramidal nucleus	Vestibular nuclei	Nucleus x	Hypoglossal nucleus	Nucleus y	Nucleus raphe magnus	Nucleus raphe pallidus	Nucleus raphe obscurus	Cerebellum	Vermal regions	Hemispheric regions	Fastigial nucleus	Interposed nucleus	Dentate nucleus	Vestibulocerebellar nucleus	fiber tracts	ventricular systems
RGB colour	0;0;0	217;112;186	224;98;165	231;127;155	255;99;138	238;82;124	254;108;102	247;122;115	191;89;153	208;87;175	166;76;156	219;117;161	222;103;153	229;89;103	255;96;83	234;79;76	241;105;123	242;96;110	101;45;66	129;47;180	129;47;180	205;71;218	117;37;120	117;37;120	95;17;98	111;20;114	98;24;99	123;21;126	104;19;108	103;41;6	103;41;6	127;50;7	111;52;18	127;63;29	122;102;51	122;102;51	93;78;39	105;88;44	76;63;32	0;143;127	0;127;123	0;127;123	0;127;123	0;127;123	0;127;123	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	0;111;96	25;187;199	0;162;175	0;162;175	0;162;175	0;162;175	0;162;175	0;162;175	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;170;184	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	0;179;193	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	13;183;196	0;155;0	0;133;0	0;133;0	0;133;0	0;133;0	0;133;0	0;133;0	0;133;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;111;0	0;89;0	0;89;0	0;89;0	0;100;119	0;81;144	0;81;144	0;81;144	0;81;144	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;69;121	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;60;106	0;100;50	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;90;45	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;76;38	0;57;29	0;57;29	0;57;29	15;15;127	0;3;110	0;3;110	0;2;67	0;2;67	0;2;67	0;2;67	51;51;51	85;85;85
Atlas Ids	997	184	500	453	1057	677	247	669	31	972	44	714	95	254	22	541	922	895	698	1089	1080	822	703	583	942	131	295	319	780	477	485	493	275	278	803	818	835	826	809	549	637	406	609	1044	1008	138	239	444	571	51	262	1014	958	1097	390	332	38	30	118	223	72	263	272	830	452	523	763	914	1109	126	133	347	286	338	576073699	689	88	331	515	980	1004	63	693	946	194	226	356	364	576073704	173	470	614	797	10671	313	302	4	580	271	874	460	599626923	381	749	607344830	246	128	294	795	1100	616	214	35	549009211	975	115	606826663	757	231	66	75	58	374	1052	165	771	612	7	867	398	280	880	599626927	898	931	1093	318	534	574	621	549009215	549009219	549009223	549009227	679	147	162	604	146	238	350	358	354	207	607	720	903	642	651	429	437	445	589508451	653	661	576	135	839	1048	372	83	136	106	203	235	307	395	852	859	938	154	1069	701	765	773	781	206	230	222	512	645	1073	989	91	846	589508455	1009	73
		68	985	322	36	897	1011	402	39	171	707	723	104	894	312782546	97	540	836	507		375	909			952		303	327			672	56	242	23		1022	342	904	351		629	414			475	218	255	59	149	189		27	483																									210															804			851	811											26	50	215															12				123	122																									96	711											939								955		1098			970	177		209								912	1007					967	81
		667	320	353	180	1106	527	1074	935	304	556	448	996	671	312782550	1127	888	427	151		382	918			966		311	334				998	250	292		1031	298	564	287		685	422			1072	1020	127	362	15	599		563807439	186																									491																		842	820											42	67	531															100					105																									101	1039											143								963		1107			978	169		202								920	1017					949	98
		526157192	943	558	148	1010	600	905	211	363	827	412	328	965	312782554	234	692	988	188		423	1121					451					754	258	536				596			709				1079	1029	1096	366	181	907		178																										732																		834	828											17	587	628															607344834					114																																																					225								976	1056					840	108
		526157196	648	838	187	1058	678	1114	1015	84	1054	630	1101	774	312782558	289	335	977	196		463	20											266	544				581			718				1088	325	1104	1077	560581559	575		321																										606826647																														10	614454277	634															607344838																																																										217								984	1064					1016	129
		526322264	844	654	638	857	252	233	919	132	1081	440	783	906	312782562	729	368	1045	204		726	52											310	551							725				170	560581551	64			930																												606826651																																706															607344842																																																																		928	1025					21	140
			882	702	662	849	156	601	927			488	831	279	312782566	786			159		10703	139											333	559							733				496345664		1120			560581563																												606826655																																1061															607344846																																																																		1091	1033					665	145
			993	889			243	649	48			731	111	879	312782570				589		10704	28												1105							741				496345668		1113																															606826659																																549009203															607344850																																																																		936	1041					538	153
			656	929			1002	394	588			484	120	442	417				597		632	926												403							563807435				496345672		155																															525																																															607344854																																																																		944	1049					900	164
