Custom brain region	root	Cerebral cortex	Cerebral nuclei	Interbrain	Midbrain	Hindbrain	Cerebellum	Cerebellar cortex	Cerebellar nuclei	fiber tracts	ventricular systems
RGB colour	0;0;0	79;0;71	103;41;6	0;143;127	0;155;0	0;100;119	15;15;127	15;15;127	15;15;127	51;51;51	85;85;85
Atlas Ids	997	688	623	1129	313	1065	512	528	519	1009	73
		695	477	549	339	771		645	989	967	81
		315	485	864	302	1132		912	91	949	98
		184	672	637	851	612		920	846	840	108
		68	493	629	842	7		976	589508455	1016	129
		667	56	685	834	867		984		21	140
		526157192	998	709	4	123		928		665	145
		526157196	754	718	811	398		1091		538	153
		526322264	275	725	820	122		936		900	164
		500	242	733	828	105		944		848	
		985	250	741	580	114		951		916	
		320	258	563807435	271	987		957		336	
		943	266	406	874	280		968		117	
		648	310	414	460	880		1073		125	
		844	333	422	599626923	599626927		1007		832	
		882	278	609	323	898		1017		62	
		993	23	1044	381	931		1056		158	
		656	292	1008	749	1093		1064		911	
		962	536	475	607344830	318		1025		901	
		767	544	1072	246	534		1033		93	
		1021	551	1079	128	574		1041		229	
		1085	559	1088	294	621		1049		794	
		453	1105	170	26	549009215				798	
		322	403	496345664	42	549009219				1116	
		353	803	496345668	17	549009223				933	
		558	818	496345672	10	549009227				413	
		838	1022	856	795	1117				948	
		654	1031	138	50	679				841	
		702	835	218	67	147				506	
		889	342	1020	587	162				658	
		929	298	1029	614454277	604				633	
		329	826	325	1100	146				482	
		981	904	560581551	215	238				917	
		201	564	239	531	350				237	
		1047	596	255	628	358				792	
		1070	581	127	634	354				932	
		1038	809	1096	706	386				514	
		1062	351	1104	1061	207				380	
		337	287	64	549009203	607				697	
		1030		1120	616	96				960	
		113		1113	214	101				744	
		1094		155	35	720				752	
		1128		444	549009211	711				326	
		478		59	975	1039				812	
		510		362	115	903				850	
		345		366	606826663	642				866	
		878		1077	757	651				78	
		657		571	231	429				1123	
		950		149	66	437				553	
		974		15	75	445				728	
		1102		181	58	589508451				484682512	
		2		560581559	348	370				983	
		369		51	374	653				776	
		450		189	1052	661				956	
		854		599	165	576				579	
		577		907	12	135				964	
		625		575	100	939				1108	
		945		930	607344834	143				971	
		1026		560581563	607344838	839				484682516	
		361		262	607344842	1048				986	
		1006		1014	607344846	372				784	
		670		27	607344850	83				6	
		1086		563807439	607344854	136				924	
		1111		178	607344858	106				190	
		9		321	607344862	203				198	
		461		958	197	235				896	
		182305689		483	591	955				1092	
		182305693		186	872	963				484682520	
		182305697		1097		307				484682524	
		182305701		157		395				1000	
		182305705		390		1098				760	
		182305709		332		1107				102	
		182305713		38		852				877	
		378		30		859				1051	
		873		118		938				1060	
		806		223		970				1043	
		1035		141		978				863	
		1090		72		154				397	
		862		263		177				991	
		893		272		169				768	
		1057		830		1069				884	
		36		452		701				908	
		180		523		209				940	
		148		763		202				1099	
		187		914		225				466	
		638		1109		217				530	
		662		126		765				603	
		677		133		773				737	
		897		347		781				428	
		1106		286		379				436	
		1010		338		206				618	
		1058		576073699		230				443	
		857		689		222				449	
		849		467						301	
		247		88						484682528	
		1011		331						824	
		527		210						54	
		600		491						349	
		678		732						46	
		252		606826647						753	
		156		606826651						690	
		243		606826655						681	
		1002		606826659						673	
		735		525						1083	
		251		557						802	
		816		1126						595	
		847		1						611	
		954		515							
		1005		980							
		1027		1004							
		696		63							
		643		693							
		759		946							
		791		290							
		249		194							
		456		226							
		1018		356							
		959		364							
		755		576073704							
		990		173							
		1023		470							
		520		614							
		598		797							
		669		804							
		402		10671							
		1074									
		905									
		1114									
		233									
		601									
		649									
		394									
		281									
		1066									
		401									
		433									
		1046									
		441									
		409									
		421									
		973									
		573									
		613									
		74									
		121									
		385									
		593									
		821									
		721									
		778									
		33									
		305									
		425									
		750									
		269									
		869									
		902									
		377									
		393									
		533									
		805									
		41									
		501									
		565									
		257									
		469									
		312782574									
		312782578									
		312782582									
		312782586									
		312782590									
		312782594									
		312782598									
		312782628									
		312782632									
		312782636									
		312782640									
		312782644									
		312782648									
		312782652									
		31									
		39									
		935									
		211									
		1015									
		919									
		927									
		48									
		588									
		296									
		772									
		810									
		819									
		972									
		171									
		304									
		363									
		84									
		132									
		44									
		707									
		556									
		827									
		1054									
		1081									
		714									
		723									
		448									
		412									
		630									
		440									
		488									
		731									
		484									
		582									
		620									
		910									
		527696977									
		746									
		969									
		288									
		1125									
		608									
		680									
		95									
		104									
		996									
		328									
		1101									
		783									
		831									
		111									
		120									
		163									
		344									
		314									
		355									
		119									
		704									
		694									
		800									
		675									
		699									
		254									
		894									
		671									
		965									
		774									
		906									
		279									
		879									
		442									
		434									
		610									
		274									
		330									
		886									
		542									
		430									
		687									
		590									
		622									
		22									
		312782546									
		312782550									
		312782554									
		312782558									
		312782562									
		312782566									
		312782570									
		417									
		312782604									
		312782608									
		312782612									
		312782616									
		312782620									
		312782624									
		541									
		97									
		1127									
		234									
		289									
		729									
		786									
		922									
		540									
		888									
		692									
		335									
		368									
		895									
		836									
		427									
		988									
		977									
		1045									
		698									
		507									
		151									
		188									
		196									
		204									
		159									
		589									
		597									
		605									
		814									
		961									
		619									
		260									
		268									
		1139									
		631									
		639									
		647									
		655									
		663									
		788									
		566									
		1089									
		1080									
		375									
		382									
		423									
		463									
		726									
		10703									
		10704									
		632									
		982									
		19									
		822									
		909									
		918									
		1121									
		20									
		52									
		139									
		28									
		926									
		526									
		543									
		664									
		727									
		743									
		843									
		1037									
		1084									
		502									
		484682470									
		589508447									
		484682508									
		703									
		583									
		942									
		952									
		966									
		131									
		295									
		303									
		311									
		451									
		319									
		327									
		334									
		780									
